Designator,Footprint,Quantity,Value,LCSC Part #
.5,OPENSOURCE-LOGO-TOP,1,OPENSOURCE-LOGO-TOP,
20MM,ORP ORIGINAL 5X5 - NO EXTRA,1,ORP ORIGINAL 5X5 - NO EXTRA,
"C1, C6",C0805,2,C440198,
"C10, C11, C12, C13, C14, C15, C16, C2, C3, C4, C5, C7, C8, C9",C0805,14,C49678,
"H3, H4",HDR-TH_8P-P2.54-V-F-1,2,C27438,
H6,HDR-TH_6P-P2.54-H-M-R2-C3-S2.54-W12.3-N,1,C2894983,
"J1, J2, J3, J4",CONN-SMD_6P-P1.50_DEALON_ZH-6PS,4,C2904998,
J5,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,1,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,
LOGO1,WEEE_4MM,1,WEEE_4MM,
LOGO5,OSHW-LOGO-L,1,OSHW-LOGO-L,
P3,HDR-TH_2P-P2.54-V-F,1,C2897365,
P4,HDR-TH_2P-P2.54-V-F,1,HDR-TH_2P-P2.54-V-F,
QWIIC-LOGO-MEDIUM1,QWIIC-LOGO-MEDIUM,1,QWIIC-LOGO-MEDIUM,
"R10, R11, R2, R5, R6, R7, R8, R9",R0805,8,C17414,
"R12, R3",R0603,2,C25804,
"U11, U12, U15, U17, U18, U19, U25, U26",M3_STANDOFF,8,M3_STANDOFF,
"U13, U14",CONN-TH_DG308-2.54-02P-14-00A,2,CONN-TH_DG308-2.54-02P-14-00A,
U16,HDR-TH_4P-P2.54-V-F,1,C2718488,
U2,LEADFREE,1,Pb,
"U20, U21, U24, U39",N20-40MM-WHEEL,4,N20-40MM-WHEEL,
"U22, U23, U8, U9",RECTANGULAR_HOLE,4,RECTANGULAR_HOLE,
"U28, U34, U52, U53",CONN-TH_DB125-2.54-10P-GN,4,CONN-TH_DB125-2.54-10P-GN,
"U29, U30, U31, U32, U40, U41, U42, U43",RECTANGULAR_M3,8,RECTANGULAR_M3,
U3,HDR-TH_6P-P2.54-H-F-W5.7,1,HDR-TH_6P-P2.54-H-F-W5.7,
U33,CONN-TH_4P-P1.50_HCTL_HC-ZH1.5-4AW,1,C2845567,
"U45, U48, U49, U6",SOP-8_L5.0-W4.0-P1.27-LS6.0-BL,4,C2895059,
U5,HDR-TH_22P-P2.54-V-F,1,HDR-TH_22P-P2.54-V-F,
"U50, U51, U7",HDR-TH_22P-P2.54-V-F,3,C2886702,
U55,MIKROBUS_SILK,1,PWM,
